zone,method,greaterThanKg,lessThanKg,rateAud
Domestic,Wholesale Insured Express,0,0.251,10.76
Domestic,Wholesale Insured Express,0.251,0.501,13.01
Domestic,Wholesale Insured Express,0.501,1.001,20.88
Domestic,Wholesale Insured Express,1.001,1.501,28.67
Domestic,Wholesale Insured Express,1.501,2.001,33.17
Domestic,Wholesale Insured Express,2.001,3.001,42.17
Domestic,Wholesale Insured Express,3.001,5.001,65.70
Zone 1: New Zealand,International Insured Express,0,0.251,22.65
Zone 1: New Zealand,International Insured Express,0.251,0.501,27.90
Zone 1: New Zealand,International Insured Express,0.501,1.001,38.25
Zone 1: New Zealand,International Insured Express,1.001,1.501,48.60
Zone 1: New Zealand,International Insured Express,1.501,2.001,58.95
Zone 1: New Zealand,International Insured Express,2.001,3.001,75.98
Zone 1: New Zealand,International Insured Express,3.001,5.001,110.03
Zone 2: China,International Insured Express,0,0.251,24.90
Zone 2: China,International Insured Express,0.251,0.501,30.15
Zone 2: China,International Insured Express,0.501,1.001,44.93
Zone 2: China,International Insured Express,1.001,1.501,59.70
Zone 2: China,International Insured Express,1.501,2.001,74.48
Zone 2: China,International Insured Express,2.001,3.001,93.00
Zone 2: China,International Insured Express,3.001,5.001,130.05
Zone 3: Rest of Asia,International Insured Express,0,0.251,25.50
Zone 3: Rest of Asia,International Insured Express,0.251,0.501,30.75
Zone 3: Rest of Asia,International Insured Express,0.501,1.001,45.53
Zone 3: Rest of Asia,International Insured Express,1.001,1.501,60.30
Zone 3: Rest of Asia,International Insured Express,1.501,2.001,75.08
Zone 3: Rest of Asia,International Insured Express,2.001,3.001,93.60
Zone 3: Rest of Asia,International Insured Express,3.001,5.001,130.65
Zone 4: USA & Canada,International Insured Express,0,0.251,27.00
Zone 4: USA & Canada,International Insured Express,0.251,0.501,32.25
Zone 4: USA & Canada,International Insured Express,0.501,1.001,47.93
Zone 4: USA & Canada,International Insured Express,1.001,1.501,63.60
Zone 4: USA & Canada,International Insured Express,1.501,2.001,79.28
Zone 4: USA & Canada,International Insured Express,2.001,3.001,97.88
Zone 4: USA & Canada,International Insured Express,3.001,5.001,135.08
Zone 5: Pacific islands,International Insured Express,0,0.251,25.88
Zone 5: Pacific islands,International Insured Express,0.251,0.501,31.13
Zone 5: Pacific islands,International Insured Express,0.501,1.001,45.90
Zone 5: Pacific islands,International Insured Express,1.001,1.501,60.68
Zone 5: Pacific islands,International Insured Express,1.501,2.001,75.45
Zone 5: Pacific islands,International Insured Express,2.001,3.001,93.98
Zone 5: Pacific islands,International Insured Express,3.001,5.001,131.03
Zone 6: UK & Ireland,International Insured Express,0,0.251,30.15
Zone 6: UK & Ireland,International Insured Express,0.251,0.501,35.40
Zone 6: UK & Ireland,International Insured Express,0.501,1.001,51.08
Zone 6: UK & Ireland,International Insured Express,1.001,1.501,66.75
Zone 6: UK & Ireland,International Insured Express,1.501,2.001,82.43
Zone 6: UK & Ireland,International Insured Express,2.001,3.001,101.03
Zone 6: UK & Ireland,International Insured Express,3.001,5.001,138.23
Zone 7: Major Europe,International Insured Express,0,0.251,30.98
Zone 7: Major Europe,International Insured Express,0.251,0.501,36.23
Zone 7: Major Europe,International Insured Express,0.501,1.001,51.90
Zone 7: Major Europe,International Insured Express,1.001,1.501,67.58
Zone 7: Major Europe,International Insured Express,1.501,2.001,83.25
Zone 7: Major Europe,International Insured Express,2.001,3.001,101.85
Zone 7: Major Europe,International Insured Express,3.001,5.001,139.05
Zone 8: Rest of World 1,International Insured Express,0,0.251,32.85
Zone 8: Rest of World 1,International Insured Express,0.251,0.501,38.10
Zone 8: Rest of World 1,International Insured Express,0.501,1.001,56.51
Zone 8: Rest of World 1,International Insured Express,1.001,1.501,74.93
Zone 8: Rest of World 1,International Insured Express,1.501,2.001,93.34
Zone 8: Rest of World 1,International Insured Express,2.001,3.001,117.86
Zone 8: Rest of World 1,International Insured Express,3.001,5.001,166.91
Zone 9: Rest of World 2,International Insured Express,0,0.251,33.86
Zone 9: Rest of World 2,International Insured Express,0.251,0.501,39.11
Zone 9: Rest of World 2,International Insured Express,0.501,1.001,57.53
Zone 9: Rest of World 2,International Insured Express,1.001,1.501,75.94
Zone 9: Rest of World 2,International Insured Express,1.501,2.001,94.35
Zone 9: Rest of World 2,International Insured Express,2.001,3.001,118.88
Zone 9: Rest of World 2,International Insured Express,3.001,5.001,167.93
